relativeTimeMs,module,key,value
32697.312832,tracing.bikesim,front_angle,2.510538
32705.368757,tracing.bikesim,speed,4.864324
32705.537319,tracing.bikesim,steer_angle,0.212698
32705.699682,tracing.bikesim,bike_yaw,2.308114
32707.965136,tracing.bikesim,front_wheel_x,-2.713626
32708.159685,tracing.bikesim,front_wheel_y,99.629815
32708.266973,tracing.bikesim,back_wheel_x,-1.369017
32708.358526,tracing.bikesim,back_wheel_y,98.149265
32708.581686,tracing.bikesim,front_angle,2.515675
32715.445280,tracing.bikesim,speed,4.864324
32715.619564,tracing.bikesim,steer_angle,0.212698
32715.734243,tracing.bikesim,bike_yaw,2.313251
32715.837002,tracing.bikesim,front_wheel_x,-2.753193
32715.936184,tracing.bikesim,front_wheel_y,99.658109
32716.054201,tracing.bikesim,back_wheel_x,-1.400996
32716.214895,tracing.bikesim,back_wheel_y,98.184487
32716.333866,tracing.bikesim,front_angle,2.520812
32718.852758,tracing.android,steering_angle,14.350514
32727.624416,tracing.irspeed,irspeed_tick,002892
32727.939367,tracing.irspeed,irspeed_interval,0.043890
32727.834225,tracing.bikesim,speed,4.884902
32728.120327,tracing.bikesim,steer_angle,0.250464
32728.213787,tracing.bikesim,bike_yaw,2.319309
32728.305578,tracing.bikesim,front_wheel_x,-2.794110
32728.405714,tracing.bikesim,front_wheel_y,99.684793
32728.511095,tracing.bikesim,back_wheel_x,-1.433011
32729.286194,tracing.bikesim,back_wheel_y,98.219389
32729.404449,tracing.bikesim,front_angle,2.563714
32742.671967,tracing.bikesim,speed,4.884902
32742.872477,tracing.bikesim,steer_angle,0.250464
32742.968321,tracing.bikesim,bike_yaw,2.325367
32743.088245,tracing.bikesim,front_wheel_x,-2.835188
32743.283749,tracing.bikesim,front_wheel_y,99.711228
32743.386745,tracing.bikesim,back_wheel_x,-1.465236
32743.569136,tracing.bikesim,back_wheel_y,98.254097
32743.699312,tracing.bikesim,front_angle,2.569773
32756.351948,tracing.bikesim,speed,4.884902
32756.620407,tracing.bikesim,steer_angle,0.250464
32757.025242,tracing.bikesim,bike_yaw,2.331425
32757.290602,tracing.bikesim,front_wheel_x,-2.876426
32757.861376,tracing.bikesim,front_wheel_y,99.737414
32762.817621,tracing.bikesim,back_wheel_x,-1.497671
32763.003111,tracing.bikesim,back_wheel_y,98.288609
32763.103962,tracing.bikesim,front_angle,2.575831
32766.415119,tracing.bikesim,speed,4.884902
32766.605854,tracing.bikesim,steer_angle,0.250464
32766.716480,tracing.bikesim,bike_yaw,2.337484
32766.819954,tracing.bikesim,front_wheel_x,-2.917821
32766.920805,tracing.bikesim,front_wheel_y,99.763350
32767.042398,tracing.bikesim,back_wheel_x,-1.530315
32767.139196,tracing.bikesim,back_wheel_y,98.322924
32767.524004,tracing.bikesim,front_angle,2.581889
32768.791437,tracing.irspeed,irspeed_tick,002893
32768.974304,tracing.irspeed,irspeed_interval,0.044331
32777.044296,tracing.android,steering_angle,14.491968
32777.381659,tracing.bikesim,speed,4.884341
32777.550697,tracing.bikesim,steer_angle,0.252933
32777.662754,tracing.bikesim,bike_yaw,2.343600
32777.765512,tracing.bikesim,front_wheel_x,-2.959431
32777.867794,tracing.bikesim,front_wheel_y,99.788929
32777.963161,tracing.bikesim,back_wheel_x,-1.563141
32778.060198,tracing.bikesim,back_wheel_y,98.357016
32778.153181,tracing.bikesim,front_angle,2.590416
32787.486553,tracing.bikesim,speed,4.884341
32787.700176,tracing.bikesim,steer_angle,0.252933
32787.813663,tracing.bikesim,bike_yaw,2.349716
32787.912130,tracing.bikesim,front_wheel_x,-3.001197
32788.021564,tracing.bikesim,front_wheel_y,99.814253
32788.112879,tracing.bikesim,back_wheel_x,-1.596175
32788.203239,tracing.bikesim,back_wheel_y,98.390906
32788.290977,tracing.bikesim,front_angle,2.596532
32800.290823,tracing.bikesim,speed,4.884341
32800.522327,tracing.bikesim,steer_angle,0.252933
32800.652027,tracing.bikesim,bike_yaw,2.355832
32800.831079,tracing.bikesim,front_wheel_x,-3.043117
